1146	750
1147	1107
1148	1042
1149	1217
1150	846
1151	916
1152	842
1153	1002
1154	1094
1155	1163
1156	1016
1157	661
1158	989
1159	794
1160	698
1161	603
1162	1060
1163	1126
1164	1194
1165	1507
1166	1218
1167	1311
1168	910
1169	1115
1170	805
1171	1010
1172	914
1173	1005
1174	1163
1175	810
1176	1116
1177	1051
1178	926
1179	887
1180	868
1181	899
1182	1208
1183	1154
1184	1287
1185	1165
1186	1072
1187	892
1188	1058
1189	1015
1190	1064
1191	1172
1192	1009
1193	392
1194	962
1195	701
1196	561
1197	720
1198	764
1199	668
1200	809
1201	767
1202	1019
1203	1230
1204	1188
1205	960
1206	1003
1207	861
1208	777
1209	1036
1210	925
1211	1037
1212	748
1213	860
1214	485
1215	536
1216	908
1217	790
1218	524
1219	678
1220	1490
1221	1248
1222	1474
1223	843
1224	1277
1225	1006
1226	1128
1227	1159
1228	1208
1229	961
1230	765
1231	726
1232	900
1233	714
1234	929
1235	896
1236	970
1237	814
1238	1032
1239	946
1240	888
1241	960
1242	751
1243	883
1244	725
1245	1067
1246	1279
1247	1358
1248	1138
1249	903
1250	806
1251	699
1252	697
1253	641
1254	849
1255	840
1256	825
1257	1312
1258	896
1259	904
1260	1202
1261	954
1262	997
1263	812
1264	781
1265	1333
1266	1033
1267	1177
1268	1170
1269	1176
1270	1245
1271	1039
1272	986
1273	933
1274	1041
1275	835
1276	1035
1277	752
1278	1228
1279	1460
1280	1009
1281	1236
1282	865
1283	1206
1284	832
1285	904
1286	1262
1287	1186
1288	1134
1289	1344
1290	1229
1291	1804
1292	1021
1293	1200
1294	1435
1295	864
1296	879
1297	901
1298	746
1299	637
1300	663
1301	1026
1302	1174
1303	1076
1304	1260
1305	1293
1306	1701
1307	1484
1308	1510
1309	1070
1310	946
1311	1202
1312	1277
1313	1070
1314	1061
1315	880
1316	1031
1317	1089
1318	1012
1319	1144
1320	764
1321	1025
1322	1042
1323	1118
1324	1073
1325	851
1326	928
1327	1068
1328	894
1329	1156
1330	1122
1331	917
1332	840
1333	743
1334	1015
1335	1039
1336	1095
1337	773
1338	883
1339	827
1340	1013
1341	841
1342	953
1343	944
1344	966
1345	1128
1346	1073
1347	986
1348	874
1349	782
1350	707
1351	1221
1352	1054
1353	1027
1354	653
1355	953
1356	1025
1357	672
1358	731
1359	781
1360	814
1361	1090
1362	1040
1363	997
1364	971
1365	861
1366	846
1367	1018
1368	588
1369	865
1370	903
1371	943
1372	648
1373	824
1374	1016
1375	796
1376	1198
1377	1220
1378	1113
1379	1124
1380	881
1381	1079
1382	818
1383	936
1384	957
1385	1098
1386	927
1387	1015
1388	628
1389	890
1390	966
1391	933
1392	1033
1393	818
1394	757
1395	904
1396	787
1397	885
1398	652
1399	804
1400	879
1401	862
1402	977
1403	1032
1404	847
1405	762
1406	994
1407	701
1408	837
1409	781
1410	903
1411	1157
