UWI,x (m),y (m)
42431331790000,859057.24,3498361.87
42431316870000,861818.48,3499686.86
42431325540000,869354.4,3499356.76
42431322940000,859831.62,3497621.7
42431324130000,867762.18,3498939.71
42431320540000,864320.65,3500949.49
42431325720000,867042.32,3499844.5
42431319500000,863006.52,3502117.21
42431322750000,872039.27,3500200.67
42431319990000,860596.79,3501151.93
